甲数除以乙数的商是1.5，如果甲数增加20，则甲数是乙的4倍．原来甲数=．	20/(4-1.5)*1.5=12.0	{甲数, 乙数, 商, 1.5, 增加, 20, 4倍, 原来甲数}
50个学生解答A、B两题，其中没答对A题的有12人，答对A题的且没答对B题的有30人．那么A、B两题都答对的有多少人．	50-12-30=8.0	{学生, 解答, A题, B题, 没答对, 12人, 答对, A题, B题, 都答对}
光明小学每16个学生就组成一个雏鹰小队，学校共有672名学生，可以组成多少个雏鹰小队？	672/16=42.0	{光明小学, 16个学生, 雏鹰小队, 672名学生, 组成}
为庆祝元旦，翠湖公园每隔6米摆放1盆鲜花，小丽从第一盆花走到第20盆花，一共走了多少米？	(20-1)*6=114.0	{庆祝, 元旦, 翠湖公园, 摆放, 鲜花, 每隔, 6米, 小丽, 第一盆花, 走到, 第20盆花, 一共, 走了, 多少米}
果园里有桃树156棵，苹果树的棵树比桃树的3倍还多96棵，苹果树有多少棵？	156*3+96=564.0	{果园, 桃树, 156棵, 苹果树, 3倍, 多, 96棵}
育红小学学生参观农业展览．他们排成4行，每行人数同样多．小丽排在第2行，从前数是第9人，从后数是第11人．参观展览的一共有多少人．	(9+11-1)*4=76.0	{育红小学, 学生, 参观, 农业, 展览, 4行, 每行, 人数, 同样多, 小丽, 第2行, 前数, 第9人, 后数, 第11人, 参观展览, 多少人}
小明每分钟跑85米，小红每分钟跑的米数是小明的(4/5)．小红每分钟跑多少米？	85*(4/5)=68.0	{小明，每分钟，跑，85米，小红，跑，米数，小明的，(4/5)，多少米}
甲乙两辆汽车同时从相距360千米的两地相向而行，4小时相遇，如果甲车每小时行40千米，那么乙车每小时行多少千米？	360/4-40=50.0	{甲, 乙, 两辆, 汽车, 同时, 相距, 360, 千米, 两地, 相向而行, 4小时, 相遇, 甲车, 每小时, 行40, 千米, 乙车}
4（1）班有男生24人，女生27人，他们向贫困山区的同学捐了408本书，平均每人捐书多少本？	408/(24+27)=8.0	{4（1）班, 男生, 24人, 女生, 27人, 贫困山区, 同学, 捐, 408本书, 平均, 每人捐书}
儿童公园里的商店开张营业，饮料6元3瓶，买5瓶送l瓶．现有36名学生，如果每人买1瓶，至少要花多少元？	36/(5+1)*5*(6/3)=60.0	{儿童公园, 商店, 开张营业, 饮料, 6元, 3瓶, 买5瓶送1瓶, 36名学生, 每人买1瓶, 至少, 花多少元}
修一条路，4小时修320米，10小时可以修多少米．	320/4*10=800.0	{修, 路, 4小时, 320米, 10小时, 可以, 修, 多少米}
小东家在8楼，小东每上一层楼用15秒，他从一楼到家需要多少秒．	15*(8-1)=105.0	{小东家, 8楼, 15秒, 一楼, 家}
甲、乙两船同时从一个码头向相反方向开出，航行5小时两船相距225千米，已知乙船每小时行19.5千米，甲船每小时行多少千米？	225/5-19.5=25.5	{甲, 乙, 两船, 同时, 一个码头, 相反方向, 开出, 航行, 5小时, 相距, 225千米, 已知, 乙船, 每小时, 行19.5千米, 甲船, 行多少千米}
甲数的(1/3)和乙数的(2/5)相等，乙数是45，甲数=．	45*(2/5)/(1/3)=54.0	{甲数, (1/3), 乙数, (2/5), 相等, 乙数, 45, 甲数}
粮库有240吨粮食，运走总数的(1/5)，还剩下多少吨？	240*(1-(1/5))=192.0	{粮库, 240吨, 粮食, 运走,总数的, 1/5, 还剩下, 吨}
甲、乙、丙3人进行100米赛跑，当甲到达终点时，乙离终点还有8米，丙离终点还有12米．如果甲、乙、丙赛跑时速度不变，那么，当乙到达终点时，丙离终点还有多少米．	100-100*((100-12)/(100-8))=4.3478260869565215	{甲、乙、丙、3人、100米、赛跑、终点、8米、12米、速度、不变、到达、离}
张大妈以1元钱3个苹果的价格买进许多苹果，又以2元钱5个苹果的价格将这些苹果卖出．今天张大妈净赚10元钱，请问她卖出苹果多少个？	10/(2/5-1/3)=150.0	{张大妈，1元钱，3个苹果，买进，卖出，2元钱，5个苹果，净赚，10元钱，卖出，苹果，多少个}
小强的身高比小华高(1/9)，小华身高135厘米，小强身高多少厘米．	135*(1+(1/9))=150.0	{小强, 身高, 比小华, 高, 1/9, 小华, 135厘米, 多少厘米}
某县城到省城的高速公路长160千米，普通公路长200千米．一辆汽车走高速路的速度是80千米/时，走普通公路的速度是40千米/时．从县城去省城走高速路比普通公路节省多少时间？	200/40-160/80=3.0	{某县城, 省城, 高速公路, 160千米, 普通公路, 200千米, 汽车, 80千米/时, 40千米/时, 节省, 时间}
食堂买来大米和面粉各50千克，共花去258.5元钱，大米每千克2.9元，面粉每千克多少元？	258.5/50-2.9=2.27	{食堂, 买来, 大米, 面粉, 50千克, 共花去, 258.5元, 每千克, 2.9元}
爸爸买回了一些桔子，吃了26个后还剩9个，爸爸买回了多少个桔子？	26+9=35.0	{爸爸, 买回, 桔子, 吃了, 26个, 还剩, 9个}
(5/7)和(7/5)的乘积=，这两个数互为多少．	(5/7)*(7/5)=1.0	{乘积，5/7，7/5，互为}
一根铁丝长(7/10)米．第一次剪去全长的(1/4)，第二次剪去全长的(2/5)．还剩全长的几分之几？	1-(1/4)-(2/5)=0.35	{铁丝，长，(7/10)米，第一次，剪去，全长的，(1/4)，第二次，(2/5)，还剩，全长的，几分之几}
中心小学学生抬水浇树，三年级浇了50棵，四年级比三年级多浇35棵，五年级浇的棵数是四年级的2倍，五年级比三年级多浇多少棵树？	(50+35)*2-50=120.0	{中心小学, 学生, 抬水, 浇树, 三年级, 50棵, 四年级, 多浇, 35棵, 五年级, 四年级的2倍, 比三年级, 多浇}
一辆汽车上山用30千米/时的速度行了4小时到山顶，下山准备用3小时到达山脚下的停车场，如果你是司机，你准备汽车行驶的速度应该=多少正好可以到？	30*4/3=40.0	{汽车, 上山, 30千米/时, 速度, 4小时, 山顶, 下山, 3小时, 停车场, 司机, 行驶速度}
一条路长180米，在它的一边从头到尾都种上梧桐树，每隔3米种一棵，一共要种多少棵？	180/3+1=61.0	{一条路, 180米, 一边, 头到尾, 种, 梧桐树, 每隔3米, 一共, 种多少棵}
早晨教室里有36名学生，其中女生占教室里总人数的(5/9)，后来又来了几名女生，这时女生占教室里总人数的(11/19)，后来又来了几名女生？	36*(1-(5/9))/(1-(11/19))-36=2.0	{早晨, 教室, 36名, 学生, 女生, 总人数, 5/9, 后来, 来了几名, 女生, 11/19, 来了几名女生}
一卷600米长的电线，第一次用去128米，第二次用去178米，这卷电线还剩多少米？	600-128-178=294.0	{一卷, 600米, 长的, 电线, 第一次, 用去, 128米, 第二次, 178米, 还剩, 多少米}
回收2吨废纸可生产再生纸1600千克，照这样计算，回收5吨废纸可以生产再生纸多少千克．	1600/2*5=4000.0	{回收, 2吨, 废纸, 生产, 再生纸, 1600千克, 计算, 5吨}
2.8与4的积，减去6.5/5的商，差=？	2.8*4-6.5/5=9.9	{积, 2.8, 4, 减去, 商, 6.5, 5, 差}
1吨大豆可以榨油(7/20)吨，140吨大豆可以榨油多少吨．	(7/20)*140=49.0	{1吨, 大豆, 榨油, 7/20吨, 140吨, 多少吨}
一件儿童上衣180元，一条裤子比上衣便宜33元，一条裙子又比一条裤子贵21元．这条裙子多少钱？	180-33+21=168.0	{儿童上衣, 180元, 裤子, 便宜, 33元, 裙子, 贵, 21元}
果园里3棵梨树去年共产梨(5/6)吨，平均每棵梨树产梨多少吨？	(5/6)/3=0.2777777777777778	{果园里, 3棵, 梨树, 去年, 共产, 梨, (5/6)吨, 平均, 每棵, 产梨, 多少吨}
学校图书馆买来一批新书，其中科普书有38本，文艺书有67本，故事书的本数是科普书和文艺书本数之和的3倍，学校买来故事书多少本？	(38+67)*3=315.0	{学校图书馆, 新书, 科普书, 38本, 文艺书, 67本, 故事书, 本数, 之和, 3倍}
小明读一本200页的故事书，已经读了这本书的(3/5)，他读了多少页？	200*(3/5)=120.0	{小明, 200页, 故事书, 读, 3/5, 多少页}
某工厂男工人数有600人，女工人数是男工人数的(2/3)．男女工一共有多少人？	600*(1+(2/3))=1000.0	{工厂, 男工人, 600人, 女工人, 男工人数, 2/3, 男女工, 多少人}
272+11与18的积，和=？	272+11*18=470.0	{272, +, 11, 与, 18, 的, 积, 和}
一瓶油重(9/10)千克，第一天用去它的(3/10)，第二天用去它的(1/5)，还剩它的几分之几没用？	1-(3/10)-(1/5)=0.5	{一瓶油, 9/10, 千克, 第一天, 3/10, 第二天, 1/5, 还剩, 几分之几}
仓库原有货物128.5吨，运出一部分后，又运进97.8吨，这时仓库内有货物187.6吨，运走货物多少吨？	128.5-(187.6-97.8)=38.7	{仓库, 原有货物, 128.5吨, 运出, 一部分, 运进, 97.8吨, 仓库内, 187.6吨, 运走货物}
寒假里三年级同学制作灯笼45个，四年级同学制作灯笼的个数比三年级的2倍少18个，四年级同学制作灯笼多少个．	45*2-18=72.0	{寒假, 三年级, 制作, 灯笼, 45个, 四年级, 比三年级的2倍, 少18个}
小猫杯到了39个老鼠，大猫捉到的数量是小猫的4倍少17个．大猫捉了多少个老鼠？	39*4-17=139.0	{小猫, 杯, 39个, 老鼠, 大猫, 捉到, 数量, 4倍, 少, 17个}
新民小学买来一些课外读物，平均分给15个班，每班分到40本，还剩下25本．一共买来多少本书？	40*15+25=625.0	{新民小学, 课外读物, 平均分, 15个班, 每班, 40本, 剩下, 25本, 一共, 买来}
一道除法算式，被除数和除数同时扩大100倍后，余数是35，原式的余数=．	35/100=0.35	{除法算式, 被除数, 除数, 扩大100倍, 余数, 35, 原式, 余数}
甲、乙两地相距350千米，小王与小李同时从甲、乙两地开车相向而行．小王的车速是每小时80千米，小李的车速是每小时60千米．几小时后两车相遇？	350/(80+60)=2.5	{甲，乙，两地，相距，350千米，小王，小李，同时，开车，相向而行，车速，每小时，80千米，60千米，几小时，两车，相遇}
学校买来125套桌椅，每张桌子48元，每把椅子32元，学校一共花费多少元？	(48+32)*125=10000.0	{学校, 买来, 125套, 桌椅, 每张, 桌子, 48元, 每把, 椅子, 32元, 一共, 花费, 多少元}
朝阳小学买5个足球用去了340元．学校还想再买13个这样的足球，还需要准备多少钱？	340/5*13=884.0	{朝阳小学, 5个, 足球, 340元, 学校, 再买, 13个, 钱}
两个数的最大公约数是126，最小公倍数是7938，其中一个数是1134，则另一个数=．	7938*126/1134=882.0	{最大公约数, 最小公倍数, 两个数, 126, 7938, 1134, 另一个数}
62与5的差乘8/4的商，积=？	(62-5)*(8/4)=114.0	{差, 乘, 积}
一个平行四边形和一个长方形的面积都是72平方厘米．长方形长18厘米，是平行四边形高的2倍．平行四边形的底=多少厘米．	72/(18/2)=8.0	{平行四边形, 面积, 72平方厘米, 长方形, 长, 18厘米, 高, 2倍, 底}
水果店运来一批水果，卖出(2/5)后还剩下24千克，水果店运来水果多少千克？	24/(1-(2/5))=40.0	{水果店, 运来, 一批, 水果, 卖出, 2/5, 剩下, 24千克, 运来水果, 千克}
一个圆柱体的体积是(1/3)立方米，与它等底等高的圆锥体的体积=多少立方米．	(1/3)*(1/3)=0.1111111111111111	{圆柱体，体积，(1/3)立方米，等底等高，圆锥体}
水果店运来20箱梨，每箱25千克．卖出325千克，还剩多少千克？	25*20-325=175.0	{水果店, 运来, 20箱, 梨, 每箱, 25千克, 卖出, 325千克, 还剩}
一个修路队计划修一条长2400米的公路，已经修了955米，剩下的每天修85米，还要修多少天才能完成任务？	(2400-955)/85=17.0	{修路队, 计划, 修, 一条, 长, 2400米, 公路, 已经, 修了, 955米, 剩下, 每天, 修, 85米, 还要, 修, 多少天, 完成, 任务}
学校给新建的教学大楼每个教室安装9盏灯．学校共有4层楼，每层有5个教室，一共要安装多少盏灯？	4*5*9=180.0	{学校, 新建, 教学大楼, 教室, 安装, 9盏灯, 共有, 4层楼, 每层, 5个教室, 一共, 要安装, 多少盏灯}
一台压路机的前轮是圆柱形，直径1米．前轮转动一周，压路机前进多少米．	3.14*1=3.14	{压路机, 前轮, 圆柱形, 直径, 1米, 转动一周, 前进, 米}
一块平行四边形的街头广告牌，底是12.5米，高是6.4米．如果要油饰这块广告牌，每平方米用油漆0.6千克，需要多少千克油漆？	12.5*6.4*0.6=48.0	{平行四边形, 广告牌, 底, 12.5米, 高, 6.4米, 油饰, 每平方米, 0.6千克, 油漆, 千克}
数学兴趣小组共有30人，其中男生占40%，女生有多少人．	30*(1-40%)=18.0	{数学兴趣小组, 30人, 男生, 40%, 女生}
菜地里黄瓜获得丰收，收下全部的(3/8)时，装满了4筐还多36千克，收完其余部分时，又刚好装满8筐，求共收黄瓜多少千克？	36/((4+8)*(3/8)-4)*(8+4)=864.0	{菜地, 黄瓜, 丰收, 收下, 3/8, 装满, 4筐, 36千克, 收完, 其余部分, 8筐, 共收, 多少千克}
木匠锯一根10米长的木头，每锯一段要用2分钟．如果把这根木头锯成相等的5段，一共要用多少分钟．	(5-1)*2=8.0	{木匠, 锯, 一根, 10米, 长, 木头, 每, 锯一段, 要用, 2分钟, 把, 这根, 木头, 锯成, 相等的, 5段, 一共, 要用, 多少, 分钟}
某班有学生48人，参加音乐兴趣小组的有20人，参加美术兴趣小组的有27人，两种小组都参加的有18人，参加兴趣小组的学生有多少人？	20+27-18=29.0	{学生, 48人, 音乐兴趣小组, 20人, 美术兴趣小组, 27人, 两种小组, 18人, 参加兴趣小组}
学校新买来56个篮球和45个排球，一共用去3020元．其中每个篮球25元钱，平均每个排球多少钱？	(3020-25*56)/45=36.0	{学校, 新买来, 56个, 篮球, 45个, 排球, 一共用去, 3020元, 每个, 篮球, 25元, 平均, 排球, 多少钱}
同学们做纸花．做红花371朵，做黄花168朵，做白花的朵数比红花和黄花的总朵数少35朵，同学们做白花多少朵？	371+168-35=504.0	{同学们，做纸花，红花，371朵，黄花，168朵，白花，总朵数，少35朵}
水结成冰后，体积增加(1/10)．现有一块冰，体积是2立方分米，融化后的体积=？	2/(1+(1/10))=1.8181818181818181	{水, 结成冰, 体积, 增加, (1/10), 立方分米, 融化, 体积}
小明身高1.54米，比小华矮0.09米．小华身高多少米？	1.54+0.09=1.63	{小明, 身高, 1.54米, 比小华, 矮, 0.09米, 小华}
乘坐空调公交车每人需投币2元，如果刷IC卡，则每次扣费1.6元．刷卡比投币便宜了百分之几？	(2-1.6)/2=0.2	{乘坐, 空调公交车, 每人, 投币, 2元, 刷IC卡, 扣费, 1.6元, 刷卡, 投币, 便宜, 百分之几}
一辆卡车3次可运梨240筐，一个果园要运2560筐梨，用4辆这样的卡车来运，几次能运完？	2560/(240/3*4)=8.0	{卡车, 运梨, 3次, 240筐, 果园, 2560筐, 梨, 4辆, 运, 几次}
树台小学去年共有学生900人，今年比去年增加(4/9)，今年有多少人？	900*(1+(4/9))=1300.0	{树台小学, 去年, 900人, 今年, 增加, 4/9}
有浓度为5%的盐水120克，浓度为7%的盐水300克，浓度为12%的盐水100克混合在一起，得到的混合溶液的浓度为多少．	(120*5%+300*7%+12%*100)/(120+300+100)=0.075	{浓度，5%，盐水，120克，7%，盐水，300克，12%，盐水，100克，混合，混合溶液，浓度}
1128/38与14的差，商=？	1128/(38-14)=47.0	{1128, 38, 差, 14, 商}
一个水果店上午售出42千克苹果，下午售出54千克苹果．这些苹果共卖了288元，每千克苹果售价=多少元．	288/(42+54)=3.0	{水果店, 上午, 售出, 42千克, 苹果, 下午, 54千克, 苹果, 共卖, 288元, 每千克, 售价}
两辆汽车分别从两地相向开出，甲车每小时行48.3千米，乙车每小时行51.7千米，经过6.3小时两车在途中相遇，两地间的公路长多少千米？	(48.3+51.7)*6.3=630.0	{两辆汽车, 相向开出, 甲车, 每小时, 48.3千米, 乙车, 51.7千米, 经过, 6.3小时, 相遇, 两地间, 公路长, 多少千米}
甲、乙两车同时从A、B两地相对开出，相遇后继续前行．当两车又相距70千米时，甲行驶了全路程的75%，乙离A地路程与已行路程的比为1：2．A、B两地相距多少千米？	70/(75%-((1)/(1+2)))=168.0	{甲、乙、两车、同时、从、A、B、两地、相对、开出、相遇、继续、前行、相距、70千米、甲、行驶、全路程、75%、乙、离、A地、路程、已行路程、比为、1：2、A、B、相距、多少千米？}
